BookUrl,NumberOfTweets,Readers,Language,AuthorUrl
https://leanpub.com/DragonWarriors,,6,English,https://leanpub.com/u/jamesleenathaniii
https://leanpub.com/societalrenaissance,,50,English,https://leanpub.com/u/lionelbisschoff
https://leanpub.com/PkFlowNutshell,,384,English,https://leanpub.com/u/Jurgen,https://leanpub.com/u/talboomerik
https://leanpub.com/servantofdracula,,,English,https://leanpub.com/u/beverhart
https://leanpub.com/zendframework2-en,,1007,English,https://leanpub.com/u/michaelromer
https://leanpub.com/templo,,,El idioma del libro: Español,https://leanpub.com/u/juanmanuelferrera
https://leanpub.com/balancebasics,,25,English,https://leanpub.com/u/neilkeleher
https://leanpub.com/hands-on-nodejs,,14209,English,https://leanpub.com/u/pgte
https://leanpub.com/ElectricFertilizerBook,,,English,https://leanpub.com/u/DavidWechsler
https://leanpub.com/introlenguajesweb,,,El idioma del libro: Español,https://leanpub.com/u/jgabardini,https://leanpub.com/u/msalias
https://leanpub.com/tb-estory,,30,English,https://leanpub.com/u/tetradian
https://leanpub.com/pillipulli,,,Sprache: Deutsch,https://leanpub.com/u/scrumphony
https://leanpub.com/freelancedeveloperbook,,799,English,https://leanpub.com/u/stevejalim
https://leanpub.com/mist,,,English,https://leanpub.com/u/caroline
https://leanpub.com/anovelist,,3,English(British English)
https://leanpub.com/rebuildinglaravel,,161,English,https://leanpub.com/u/assertchris
https://leanpub.com/thepsychologyofsoftwaretesting,,27,English,https://leanpub.com/u/john_stevenson
https://leanpub.com/nlc_beyondblueridge,,,English,https://leanpub.com/u/amypreed
https://leanpub.com/nichepick,,,English,https://leanpub.com/u/taphangum
https://leanpub.com/theneophytesguidetoscala,,1496,English,https://leanpub.com/u/danielwestheide
https://leanpub.com/l4,,6556,English,https://leanpub.com/u/darkness
https://leanpub.com/fp-oo,,3657,English,https://leanpub.com/u/marick
https://leanpub.com/sun-tzu-the-art-of-war,,,English,https://leanpub.com/u/jeffmcneill
https://leanpub.com/TIC,,4,English,https://leanpub.com/u/zaper
https://leanpub.com/stgilescookbook,,,English,https://leanpub.com/u/stgilespreschool
https://leanpub.com/The_Private_Production_of_Defense_Chinese_Version,,,Chinese,https://leanpub.com/u/raviwu
https://leanpub.com/misplacedgeek,,,English,https://leanpub.com/u/matthewdedwards
https://leanpub.com/build,,314,English
https://leanpub.com/aboutbloodytime,,,English,https://leanpub.com/u/simonejenner
https://leanpub.com/a3problemsolving,,293,English,https://leanpub.com/u/JamieFlinchbaugh
https://leanpub.com/diygardenoffice,,450,English,https://leanpub.com/u/oddjones
https://leanpub.com/WorkingWithLegacySystems,,464,English,https://leanpub.com/u/robertannett
https://leanpub.com/thezenprogrammer,,225,English,https://leanpub.com/u/grobmeier
https://leanpub.com/fiverules,,114,English,https://leanpub.com/u/willemlarsen,https://leanpub.com/u/dianalarsen
https://leanpub.com/fifthgrademath,,,English,https://leanpub.com/u/richardbwalker
https://leanpub.com/stnca_loveis,,4,English,https://leanpub.com/u/faysebastian
https://leanpub.com/howtochangetheworldswedish,,38,Språk: Swedish,https://leanpub.com/u/miboman
https://leanpub.com/skinrashes,,,English,https://leanpub.com/u/diabeticwoundssalve
https://leanpub.com/genesis-study-guide,,3,English,https://leanpub.com/u/joeswann
https://leanpub.com/howtobefree,,109,English,https://leanpub.com/u/michellemargaret
https://leanpub.com/missionnext,,,English,https://leanpub.com/u/aronsolomon
https://leanpub.com/critical-chain-self-learn-kit-de,,,Sprache: Deutsch,https://leanpub.com/u/wolfram-mueller,https://leanpub.com/u/silvan-kurras
https://leanpub.com/theleanenterprise,,,English,https://leanpub.com/u/owenstrevor,https://leanpub.com/u/obie
https://leanpub.com/brainhackbook,,,English,https://leanpub.com/u/martinlissmats
https://leanpub.com/programmieren-lernen-mit-javascript,,2,Sprache: Deutsch,https://leanpub.com/u/olav
https://leanpub.com/moresecrets,,2,English,https://leanpub.com/u/jerryweinberg
https://leanpub.com/selenium-recipes-in-csharp,,,English,https://leanpub.com/u/zhiminzhan
https://leanpub.com/IA-pg,,,English,https://leanpub.com/u/anonymous2Fq9U-_C5CGQ6AmsZ9BLD-
https://leanpub.com/lancesfirstchapter,,24,English,https://leanpub.com/u/Dlexis
https://leanpub.com/WhatDrivesQuality,,,English,https://leanpub.com/u/benlinders
https://leanpub.com/lyceum,,,English,https://leanpub.com/u/ubiquitousrat
https://leanpub.com/chanceslasthumanity,,15,English,https://leanpub.com/u/tgarris
