Book Title,Sum of authors twitter followers,Number of readers,min price,max price
Sometimes We Ran 2,1362,0,299,499
I gabbiani volano in cerchio,554,11,199,399
From Heaven to Hell,0,21,-1,1199
Gundam SEED Destiny: Darkness Rising,180,0,99,0
StoryKeeper,151,0,99,499
Use Vim Like A Pro,2077,815,-1,947
Complete Separation of the 3 Tiers,0,17,-1,100
C# Tips,0,811,-1,1599
Structuring Backbone Code with RequireJS and Marionette Modules,263,985,2000,2500
JavaScript and Node FUNdamentals,2607,4095,-1,299
Beating Violence,557,0,-1,699
A Drip of JavaScript,528,77,599,1199
We are the K.A.M.Z.,6,38,-1,-1
Laravel in pratica,116,0,990,1500
Ruby on Rails: The Little Gem That Could,0,20,900,1000
The Colors of Change,1098,59,1000,1500
It's Payback Time,0,12,-1,500
PHP 101 crash-course,0,7,999,1499
Public Procurement and Contract Administration: A Brief Introduction,257,88,-1,999
Ansible for AWS,24,26,1499,1999
Boatman Bob and a dog named Popsicle,0,0,199,299
"Principles, Patterns and Practices of Domain-Driven Design",562,2858,-1,-1
The Citizen,0,0,99,499
Functional Programming for the Object-Oriented Programmer,0,3659,1500,2000
Hands-on Node.js,2692,14216,-1,1199
Imperia,246,68,290,490
Prophetic Poetry,454,7,-1,-1
The Beasts of The Earth,0,0,99,499
Rails 101,0,3825,-1,1295
Sometimes We Ran,1362,2,299,499
Joe's Agile Release Planning,558,257,700,1295
.NET 相依性注入,12,82,800,1500
CoffeeScript Ristretto,9288,1029,1999,2999
Multitenancy with Rails,4259,1318,2000,2500
Cafe Papaye,862,6,-1,-1
The Elements of Computing Style,2118,0,995,1495
Fifty Years of Night,24300,374,899,999
10 Women & Their Venture to The World of Erotica,0,0,199,499
Alex and Happy,0,6,-1,-1
bedbound,137,0,500,600
搞懂經濟,0,0,-1,499
Coding In Delphi,1748,170,2999,3999
Playing The Native American Flute,109,2,-1,-1
Lando Cruz and The Coup Conspiracy,2865,13,399,499
The PHP Project Guide,0,1268,1000,1500
StarLight Expressions,0,0,700,1400
Watir Recipes,0,0,999,1999
Astral Force Rising,0,3,-1,499
The Struggling Academic's Guide to Research,53,25,200,500
Phantasy,0,0,-1,199
EA for the Business Analyst,0,39,2999,3499
Humeurs Économiques,1713,0,199,400
Everwhere,37,0,199,499
Everyday Rails - RSpecによるRailsテスト入門,2776,782,1600,2000
Samurai,597,5,-1,-1
Learn.js #1,663,81,1500,2000
Sex I Like to Remember,0,0,99,499
Clearing Away the Crap in My Cap,0,0,999,1299
Safari w Namibii,93,0,299,599
How to Start a Business in Taiwan,33,71,-1,3699
Practical Web Test Automation,0,0,1600,3200
Tome of Vo - Lance's First Chapter,0,24,-1,499
Thai Swift (แปลไทย),15,556,-1,599
Trigger Point,71,4,1000,1500
Tales of the Soul,0,13,-1,-1
HTML5 Basic,168,0,199,799
A War Story,0,0,99,499
Building a WordPress Theme from Scratch,140,0,1998,2499
Purgatoire,0,6,-1,-1
Painless Vim,104,214,599,1499
Agile Pitfalls,92,42,500,700
Xanpan,1716,110,1500,1900
