Book Title,Sum of authors twitter followers,Number of readers,min price,max price
"Handbook of Technical Reviews, Fourth Edition",7211,5,-1,1999
Faith gives me Hope,454,14,-1,-1
Wikis for Enterprises,0,0,1999,3999
Shades of Emotion,0,0,-1,-1
Korea 2014,277000,0,888,1888
The Incremental Architect´s Napkin,1200,7,-1,99
Writing Sublime Plugins,3803,304,2200,2700
Your API Is Bad,687,587,-1,2000
Enterprise Architecture: unlocking business potential,1712,7,1195,1995
Música na Era Digital,11100,0,-1,199
The Order of Light,80,2,799,999
Scrumtips,1051,247,499,2499
Laravel: Code Bright (TR) Türkçe Çevirisi,7848,56,2999,3999
The War After Time: Arrival,0,0,399,499
JavaScript Spessore,9288,239,2900,3900
D3 Tips and Tricks,312,12031,-1,199
Optimizing The Flow,1904,89,-1,499
How do I use Sourcegraph with Ruby?,5498,141,-1,-1
How to Design Faceted Search,19,239,-1,-1
Open Gate,492,0,299,399
The Last Turn,72,42,-1,-1
Music in the Digital Age,11100,2779,-1,299
Obteniendo valor de las Retrospectivas ágiles,16543,0,799,999
The Bridge,1487,0,-1,99
Recurring Revenue for Web Agencies,222,0,2600,4400
Obstruction,0,10,-1,-1
Introducción a los lenguajes de la Web,2135,0,-1,499
Der eigene Server mit FreeBSD 10,60,26,995,1995
The Dawning of Twilight,0,2,-1,-1
Mity i Problemy w Agile,483,397,359,699
Lean Blog: Sports,12000,15,199,999
Enterprise Canvas,2428,36,499,1499
The enterprise as story,2428,30,799,1999
Wrinklefree jQuery and HTML5,1242,0,1099,3000
G.E.M. Stones: Rise of the Reluctant,0,0,499,999
Kenwood Kitchen Appliances,0,0,99,499
CoffeeScript,5284,2714,-1,499
Mapping the enterprise,2428,63,799,1999
The Nightingale Throne,5842,8,200,800
Musik im Digitalen Zeitalter,11100,55,-1,199
The Rails 4 Way,942,2232,2900,4900
I'm Keeping My Baby,0,2,1199,1599
Notes to a Software Team Leader,11700,1458,2000,2500
Parallel Programming with OmniThreadLibrary,169,365,999,2998
JeeLabs,0,760,-1,-1
"Kestrels, Quirky Birds, and Hopeless Egocentricity",9288,842,1599,2399
Smarter Software with Activity-Centered Design,326,0,999,2999
paseniño,137,0,99,499
Another Unfortuate Incongruency,0,0,-1,499
Getting Value out of Agile Retrospectives,0,1258,-1,999
Recipes with Angular.js,281,1109,999,1499
Little Orange Ubuntu Book,0,1581,-1,500
Follow the Leader,0,13,-1,-1
Sangue Immortale,0,7,299,499
Selenium Recipes in Java,0,0,999,1999
Functional Reactive Programming on iOS,4422,994,999,1499
Backbone.Marionette.js: A Serious Progression,263,280,2900,3500
Ambitious Ember Applications,1389,194,1299,2499
Il est mort,0,0,-1,-1
Modern Programming Made Easy,47,30,899,2499
Lean Self Exercise Book,728,68,199,999
Getting to IIT Delhi,0,523,-1,-1
Personal Kanban in a Nutshell,2195,384,650,1500
Lothar's Stratagem,1965,0,-1,99
The SharePoint Governance Manifesto,3137,212,1800,2000
C++11 Rocks - GCC Edition,667,0,2400,2900
How to run an internal unconference,9363,386,-1,1000
Xamarin Android Application Development,329,109,899,1099
Groovy Goodness Notebook,1832,0,-1,1499
Laravel: Code Happy,6657,3103,999,1999
Laravel: Code Bright (JP),7235,48,2999,3999
Max for Live Ultimate Zen Guide,1984,592,3000,3999
Flicking,223,0,-1,499
Responsive Email Design,0,8,1599,1899
Getting Started with Data Journalism,1502,140,1099,1499
How to Help Your Child with Fifth Grade Mathematics,185,0,1299,1499
Aventura en las Arenas,1937,13,-1,500
Sun Tzu - The Art of War,3095,0,399,499
Citizen Video,576,0,-1,-1
Why programmers work at night,4016,1882,1100,1600
Growing Agile: A Coach's Guide to Training Scrum,2186,203,2500,3000
A Game of HORSE,1487,0,-1,99
The Key,103,26,-1,-1
Enigmatic Love,0,2,-1,-1
Startup Sacrilege,1784,0,999,1599
Twilight Strategy,0,3938,-1,-1
The Retrospective Handbook,1476,1194,1299,1799
Growing Rails Applications in Practice,216,456,-1,1500
Stepping in Puddles Ain't So Bad,0,0,-1,99
Core Data Synchronization with Ensembles (BETA),2609,0,2999,3999
Laravel: Code Bright (ES),7085,179,2999,3999
Ofertas y Contratos en Scrum,369,52,-1,900
Triumphal Accounts in Hebrew and Egyptian,1549,0,199,299
Fotozoektocht door Lier,560,45,499,999
Marionette Exposé,582,1666,-1,1799
APPropriate Behaviour,5217,362,1000,2000
Salve for Splinter Removal,0,0,99,499
"Go, The Standard Library",880,167,2900,3900
Illusions: Layla's Story,799,0,250,499
Quick Guide For Firefox OS App Development,608,5802,-1,-1
Zend Framework 2 na prática,2548,32,1399,1499
Selenium Recipes in C#,0,0,999,1999
Ember.js Guides,42,273,-1,-1
Agile Impressions,7211,152,-1,999
10 prosperity exercices,0,239,899,999
Building Secure PHP Apps,1858,310,2499,2999
AngularJS for Zend Framework 2 Developers (Early Access Edition),49,31,1200,2000
Developing Options Intuition (Draft),271,251,-1,3995
D3 on AngularJS,2883,853,1999,2999
Laravel 4 Cookbook 日本語版,14359,104,1999,2999
From the Hillside,0,0,495,695
Real Machine Intelligence with Clortex and NuPIC,1606,15,768,2048
Divergent Streams,0,1791,-1,-1
AngularJS Cookbook,0,65,1499,1999
Runway,0,101,-1,1499
OFF THE BOOK,0,2,-1,888
Indonesia 2014,277000,0,888,1888
The Grumpy Programmer's Guide To Building Testable PHP Applications,5571,1279,-1,2000
That Hoosiers Cap,1487,0,-1,199
"Nightfall Book One, Volume One of the Nightsong Saga",0,5,99,499
Welcome to Texts,0,3,-1,-1
Rare Orchid,19,5,-1,-1
Making the Shrimp,526,55,-1,149
